"","Country.Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","ActiveCases","Serious.Critical","Tot.Cases.1M.pop","Deaths.1M.pop","TotalTests","Tests.1M.pop","Continent"
"123","Malta","480","+3","4","","399","77","1","1,087","9","36,204","81,994","Europe"
"124","Jamaica","469","+6","9","+1","38","422","2","158","3","5,633","1,902","North America"
"125","Jordan","465","+4","9","","370","86","5","46","0.9","87,618","8,587","Asia"
"126","Taiwan","438","+6","6","","334","98","","18","0.3","64,436","2,705","Asia"
"127","Réunion","424","+1","","","300","124","2","474","","","","Africa"
"128","Guinea-Bissau","413","+156","1","","19","393","","210","0.5","1,500","762","Africa"
"129","Paraguay","396","+26","10","","126","260","7","56","1","10,766","1,509","South America"
"130","Gabon","367","+32","6","+1","93","268","1","165","3","724","325","Africa"
"131","Palestine","362","+9","2","","102","258","","71","0.4","32,200","6,312","Asia"
"132","Venezuela","357","","10","","158","189","1","13","0.4","482,953","16,984","South America"
"133","Mauritius","332","","10","","316","6","3","261","8","18,398","14,466","Africa"
"134","Isle of Man","325","+4","23","+1","271","31","21","3,822","270","3,339","39,267","Europe"
"135","Montenegro","323","+1","8","","253","62","2","514","13","7,816","12,445","Europe"
"136","Equatorial Guinea","315","","3","+2","13","299","","225","2","854","609","Africa"
"137","Vietnam","271","","","","219","52","8","3","","261,004","2,681","Asia"
"138","Rwanda","261","+2","","","128","133","","20","","35,096","2,710","Africa"
"139","Congo","236","+7","10","+1","26","200","","43","2","","","Africa"
"140","Tajikistan","230","+102","3","+1","","227","","24","0.3","","","Asia"
"141","Faeroe Islands","187","","","","185","2","","3,827","","8,066","165,074","Europe"
"142","Martinique","181","+2","14","","83","84","5","482","37","","","North America"
"143","Sierra Leone","178","+12","9","+1","37","132","","22","1","","","Africa"
"144","Cabo Verde","175","+10","2","","37","136","","315","4","791","1,423","Africa"
"145","Liberia","166","+8","18","","58","90","","33","4","","","Africa"
"146","Myanmar","161","+6","6","","49","106","","3","0.1","9,025","166","Asia"
"147","Guadeloupe","152","","12","","98","42","5","380","30","","","North America"
"148","Madagascar","149","","","","99","50","1","5","","3,772","136","Africa"
"149","Gibraltar","144","","","","133","11","","4,274","","2,931","86,997","Europe"
